f_Hz,VP_V,VS_V,phi_degree
500,4.945,4.685,3.7
1000,4.967,4.665,7.4
2000,4.945,4.561,13.4
5000,5.019,4.175,32
7500,4.545,3.757,44.5
10000,4.95,3.33,56.9
15000,4.975,2.53,75.5
20000,4.902,1.91,89.5
25000,4.877,1.462,100.5
30000,4.896,1.162,108.5
35000,4.832,0.876,114.9
40000,4.81,0.665,121
45000,4.83,0.515,125.6
50000,4.802,0.385,130.3
55000,4.814,0.285,133.5
60000,4.81,0.1075,128.5
61000,4.81,0.0734,117.8
62000,4.805,0.0489,83.9
63000,4.805,0.065,32
64000,4.813,0.1165,14
65000,4.82,0.1862,10.5
70000,4.98,0.626,50.4
75000,4.972,0.602,89.5
80000,4.864,0.47,106.2
85000,4.87,0.3819,114
90000,4.827,0.321,117.6
95000,4.79,0.2793,120.8
100000,4.81,0.2462,122.9
200000,4.813,0.0645,119.5
500000,4.78,0.0184,85